quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,index_right,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,avg_d_mbps,avg_u_mbps
1231222031213101,196786,12886,51,3,2,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,196.786,12.886
1231222031213110,303188,26366,70,6,2,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,303.188,26.366
1231222031230231,3636,2806,38,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,3.636,2.806
1231222031300222,289969,4430,39,5,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,289.969,4.43
1231222031301032,519861,56330,24,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,519.861,56.33
1231222031303201,101165,36856,41,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,101.165,36.856
1231222031311302,15348,2982,92,2,2,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,15.348,2.982
1231222031313312,12195,1191,42,3,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,12.195,1.191
1231222031331110,286645,38725,42,5,3,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,286.645,38.725
1231222031331111,490937,48660,30,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,490.937,48.66
1231222031331112,26014,34235,30,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,26.014,34.235
1231222031331131,227040,9388,38,2,2,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,227.04,9.388
1231222031333103,46093,2789,42,2,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,46.093,2.789
1231222031333112,61416,42277,51,2,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,61.416,42.277
1231222033002300,19769,690,48,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,19.769,0.69
1231222033022232,35763,37396,77,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,35.763,37.396
1231222033030333,4244,21622,23,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,4.244,21.622
1231222033031222,3079,10,47,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,3.079,0.01
1231222033033033,18779,16395,129,5,3,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,18.779,16.395
1231222033033103,424033,7089,34,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,424.033,7.089
1231222033033120,405082,17117,25,1,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,405.082,17.117
1231222033033122,8012,3398,25,2,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,8.012,3.398
1231222033033202,381623,8292,37,8,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,381.623,8.292
1231222033033203,553332,32937,26,2,1,123,105,IND,India,12,Gujarat,124,Kachchh,District,District,,Kutch,553.332,32.937
